,2Means_pept,3Means_pept,100Means_pept,1000Means_pept,500Means_pept
24156,1,2,89,900,450
24157,1,2,89,106,174
24158,0,2,40,629,283
24159,0,1,40,629,283
24160,1,2,93,495,26
24161,1,2,20,704,163
24162,1,2,47,311,416
24163,1,2,89,363,73
24164,0,2,86,352,42
24165,0,2,84,417,17
24166,0,2,61,6,109
24167,1,2,68,9,56
24168,1,2,89,363,73
24169,1,2,20,704,73
24170,1,2,20,704,73
24171,1,2,89,704,73
24172,0,2,89,6,408
24173,1,2,89,9,451
24174,1,2,93,9,56
24175,1,1,83,291,8
24176,1,1,83,291,8
24177,1,2,64,39,215
24178,1,2,47,130,213
24179,0,1,89,241,450
24180,0,1,20,704,189
24181,1,2,0,54,78
24182,0,1,23,977,138
24183,0,2,90,142,223
24184,0,1,90,238,366
24185,0,2,7,339,474
24186,0,1,58,327,91
24187,0,1,32,641,433
24188,1,2,6,300,437
24189,1,2,49,745,18
24190,1,2,89,900,450
24191,1,2,6,117,174
24192,1,2,89,76,450
24193,1,2,20,704,73
24194,0,1,89,348,148
24195,1,2,85,126,377
24196,0,2,89,840,189
24197,1,2,34,6,322
24198,1,2,89,130,78
24199,0,1,34,9,56
24200,1,2,89,176,6
24201,0,2,28,302,249
24202,1,2,89,101,450
24203,1,1,84,417,17
24204,1,2,48,435,67
24205,0,1,48,435,154
24206,1,2,6,698,228
24207,1,2,6,9,450
24208,0,1,32,548,424
24209,0,1,22,556,319
24210,1,2,6,106,174
24211,0,1,3,272,252
24212,1,2,89,76,450
24213,0,2,16,915,410
24214,1,2,31,996,109
24215,1,2,89,191,197
24216,1,1,90,488,422
24217,1,2,90,142,422
24218,1,2,18,30,18
24219,1,1,89,369,73
24220,0,2,89,76,6
24221,0,1,84,417,17
24222,0,1,48,88,42
24223,0,2,71,289,337
24224,0,0,77,460,119
24225,0,0,92,460,119
24226,1,0,11,724,373
24227,0,0,7,428,199
24228,0,0,11,724,373
24229,0,0,97,569,350
24230,0,0,97,569,350
24231,0,0,77,613,369
24232,0,0,77,225,380
24233,0,0,77,474,380
24234,0,0,7,89,107
24235,0,0,77,225,380
24236,0,0,7,749,356
24237,0,0,7,89,356
24238,1,0,76,256,199
24239,0,0,97,569,350
24240,0,0,2,82,56
24241,0,0,56,439,16
24242,0,0,24,9,16
24243,0,0,24,804,16
24244,1,0,88,634,184
24245,0,0,2,110,195
24246,0,0,81,622,478
24247,0,0,81,668,134
24248,0,0,2,228,16
24249,0,0,81,110,195
24250,0,0,2,746,195
24251,0,0,2,746,195
24252,0,0,2,746,195
24253,1,0,2,746,195
24254,1,0,81,746,195
24255,1,0,24,746,195
24256,0,0,2,746,16
24257,0,0,7,564,107
24258,0,0,95,247,16
24259,0,0,81,971,195
24260,0,0,66,624,426
24261,0,0,15,352,189
24262,0,0,9,538,192
24263,0,0,60,938,6
24264,0,0,60,77,6
24265,0,0,32,126,6
24266,1,0,66,624,426
24267,0,1,22,556,319
24268,0,2,22,175,433
24269,1,1,48,88,84
24270,0,2,6,755,239
24271,0,1,40,629,283
24272,1,2,88,117,184
24273,0,1,40,55,428
24274,0,2,22,175,433
24275,0,1,89,915,9
24276,0,1,22,556,319
24277,0,2,26,121,398
24278,0,2,6,800,18
24279,1,2,6,639,26
24280,1,2,6,639,26
24281,1,1,3,408,205
24282,1,2,47,408,205
24283,1,2,61,837,18
24284,1,2,6,408,205
24285,1,2,89,6,322
24286,0,1,84,318,44
24287,1,1,3,408,205
24288,1,2,6,339,228
24289,0,2,31,510,109
24290,1,2,89,76,450
24291,1,1,89,101,450
24292,0,2,7,639,161
24293,1,2,48,88,84
24294,1,2,6,47,395
24295,1,2,6,465,18
24296,1,2,6,789,18
24297,1,1,6,101,450
24298,0,1,40,35,283
24299,0,1,22,556,319
24300,0,2,68,76,127
24301,0,1,89,363,73
24302,0,2,6,363,73
24303,0,1,22,556,319
24304,1,2,6,124,395
24305,1,2,48,124,395
24306,1,2,6,124,395
24307,1,1,89,6,408
24308,1,2,48,88,84
24309,1,2,6,465,18
24310,0,1,48,88,375
24311,0,1,98,331,269
24312,1,2,6,465,18
24313,1,2,91,76,228
24314,1,2,49,76,450
24315,1,2,6,932,450
24316,1,2,6,465,18
24317,0,2,6,669,18
24318,1,2,89,724,373
24319,0,2,16,124,395
24320,1,2,89,724,373
24321,1,2,20,704,284
24322,1,2,6,976,395
24323,1,2,6,363,73
24324,1,1,48,88,56
24325,1,2,65,481,87
24326,1,2,6,465,18
24327,0,1,6,101,450
24328,1,1,83,101,450
24329,0,1,77,474,319
24330,0,2,7,450,161
24331,0,2,7,89,161
24332,0,1,77,474,319
24333,0,2,26,579,380
24334,0,2,26,566,427
24335,0,2,71,687,337
24336,0,2,6,6,322
24337,0,1,3,990,252
24338,1,1,89,432,450
24339,1,2,6,759,42
24340,1,2,6,76,450
24341,1,2,6,698,228
24342,1,2,6,789,18
24343,1,2,6,789,18
24344,1,2,6,339,18
24345,1,2,6,117,174
24346,1,1,84,792,102
24347,1,1,89,900,450
24348,0,1,42,629,283
24349,1,2,88,259,184
24350,1,2,88,259,184
24351,0,2,90,838,346
24352,1,1,83,601,73
24353,1,2,71,358,53
24354,1,2,99,97,256
24355,0,1,23,102,230
24356,0,1,58,852,91
24357,1,1,27,193,96
24358,1,2,99,413,256
24359,1,2,31,63,254
24360,1,2,78,777,79
24361,0,1,33,580,273
24362,0,2,20,281,390
24363,1,2,86,759,193
24364,1,1,65,481,87
24365,1,2,65,481,87
24366,1,2,65,481,87
24367,1,2,65,481,87
24368,1,2,65,481,87
24369,1,1,23,102,59
24370,1,1,75,910,177
24371,1,1,3,272,252
24372,0,2,16,859,168
24373,1,1,93,87,112
24374,0,2,12,695,136
24375,1,2,17,945,251
24376,1,2,65,937,238
24377,0,2,16,859,391
24378,0,2,93,495,26
24379,0,2,75,930,152
24380,1,2,46,112,307
24381,1,1,27,215,96
24382,1,2,65,945,238
24383,1,2,65,945,238
24384,1,2,65,945,87
24385,1,1,76,183,59
24386,0,0,62,70,191
24387,0,0,95,591,262
24388,0,0,24,887,105
24389,0,0,95,591,262
24390,0,0,92,830,144
24391,0,0,1,935,83
24392,0,1,40,991,352
24393,1,1,80,215,64
24394,1,2,46,112,87
24395,1,2,68,945,127
24396,1,2,39,945,35
24397,1,2,43,542,312
24398,1,2,55,945,65
24399,1,1,23,432,59
24400,1,2,72,353,295
24401,1,1,27,215,96
24402,1,2,47,311,251
24403,0,2,72,522,225
24404,1,1,29,385,358
24405,1,2,12,481,218
24406,1,2,65,481,87
24407,1,2,75,861,486
24408,1,2,75,344,246
24409,1,2,78,587,185
24410,0,1,52,495,409
24411,0,2,52,137,208
24412,0,2,52,896,409
24413,1,2,99,729,256
24414,1,2,99,193,256
24415,1,2,31,996,123
24416,1,2,78,193,256
24417,1,2,75,344,177
24418,1,1,79,314,358
24419,1,2,49,745,145
24420,1,2,47,4,415
24421,1,2,5,677,74
24422,1,2,47,674,415
24423,1,1,29,385,8
24424,0,1,90,870,160
24425,0,2,90,70,223
24426,0,2,52,770,468
24427,1,2,43,174,312
24428,1,2,5,810,55
24429,1,2,47,4,415
24430,1,2,54,729,235
24431,0,2,16,662,219
24432,1,1,78,174,25
24433,1,2,68,868,127
24434,1,2,64,167,386
24435,1,2,39,282,196
24436,1,2,51,657,36
24437,1,2,75,344,246
24438,0,2,26,886,152
24439,1,2,43,81,312
24440,1,2,30,86,345
24441,1,2,65,362,87
24442,1,2,91,462,2
24443,0,2,86,580,88
24444,1,2,8,893,313
24445,1,1,4,588,64
24446,1,1,8,895,425
24447,1,2,30,384,1
24448,1,2,51,210,334
24449,1,1,63,421,287
24450,1,2,39,730,130
24451,1,2,64,167,386
24452,1,1,84,552,102
24453,1,2,31,785,46
24454,0,2,47,305,459
24455,1,2,10,350,278
24456,1,1,63,360,155
24457,1,1,29,921,203
24458,1,2,39,607,336
24459,1,2,39,607,336
24460,0,2,31,785,254
24461,1,1,27,170,96
24462,1,2,62,5,316
24463,1,2,47,311,415
24464,1,2,5,377,55
24465,1,2,78,61,180
24466,1,2,78,377,483
24467,1,1,40,426,434
24468,1,2,39,840,320
24469,1,1,16,410,391
24470,1,2,61,697,254
24471,1,2,90,763,422
24472,1,1,63,179,227
24473,1,1,84,368,307
24474,0,1,3,161,269
24475,1,2,93,131,156
24476,1,2,5,384,130
24477,1,2,47,4,415
24478,1,2,54,729,397
24479,1,2,39,347,384
24480,1,2,20,399,284
24481,1,2,20,773,387
24482,1,2,46,230,307
24483,0,1,58,852,460
24484,0,0,25,896,313
24485,0,0,42,499,149
24486,1,0,24,561,125
24487,1,0,66,146,281
24488,1,0,66,146,281
24489,1,2,12,447,65
24490,1,2,32,229,197
24491,0,2,90,372,223
24492,1,1,29,347,203
24493,1,2,43,81,312
24494,1,2,39,148,235
24495,1,2,54,729,482
24496,1,1,23,790,230
24497,1,2,47,4,415
24498,1,2,93,87,112
24499,1,2,86,580,193
24500,1,2,91,718,342
24501,1,2,8,380,425
24502,1,2,51,519,425
24503,1,2,55,178,329
24504,1,2,49,996,254
24505,1,1,61,170,378
24506,1,2,78,4,415
24507,0,2,75,229,415
24508,1,2,54,384,334
24509,1,2,54,446,61
24510,1,2,10,90,485
24511,1,1,43,434,498
24512,1,2,52,137,208
24513,1,2,54,729,130
24514,1,2,43,81,312
24515,1,1,76,432,164
24516,1,2,5,288,387
24517,1,1,27,469,96
24518,0,1,80,905,64
24519,1,2,54,178,467
24520,1,2,93,973,208
24521,0,2,20,160,169
24522,1,2,78,356,409
24523,1,2,85,305,459
24524,1,2,72,273,434
24525,1,2,75,246,474
24526,0,2,75,970,68
24527,1,2,91,718,342
24528,0,1,61,170,378
24529,0,1,61,170,378
24530,1,1,61,170,378
24531,1,1,61,170,378
24532,1,1,61,170,378
24533,1,0,2,841,329
24534,1,2,51,620,118
24535,1,2,8,757,288
24536,1,2,46,100,102
24537,0,1,32,641,433
24538,0,2,40,181,352
24539,1,2,99,402,256
24540,1,2,99,858,256
24541,1,2,99,193,256
24542,1,2,99,193,256
24543,0,2,13,448,378
24544,1,1,3,62,274
24545,1,1,59,187,277
24546,0,1,33,681,154
24547,1,2,93,196,131
24548,0,2,20,821,270
24549,1,2,59,69,274
24550,0,1,59,115,324
24551,1,2,16,780,35
24552,1,1,33,727,303
24553,1,1,76,433,303
24554,1,2,20,444,284
24555,0,1,69,203,273
24556,0,1,40,426,434
24557,1,1,16,357,447
24558,0,2,26,845,398
24559,0,2,31,21,212
24560,1,2,51,657,196
24561,1,2,54,187,140
24562,1,2,30,513,140
24563,1,2,59,989,277
24564,1,2,18,187,180
24565,1,2,30,726,55
24566,1,2,69,260,415
24567,1,1,76,134,164
24568,1,1,76,134,164
24569,1,2,49,260,140
24570,1,2,30,463,140
24571,1,2,31,399,123
24572,1,2,30,384,140
24573,1,2,84,417,307
24574,1,2,46,871,307
24575,1,2,90,238,422
24576,0,1,58,486,437
24577,1,2,71,687,298
24578,1,2,61,727,254
24579,0,1,22,254,388
24580,1,2,12,384,140
24581,1,2,47,656,415
24582,1,2,0,163,74
24583,0,2,40,35,283
24584,0,1,22,667,273
24585,1,2,52,395,423
24586,1,2,52,395,234
24587,1,2,52,75,484
24588,0,2,32,305,173
24589,1,2,59,187,248
24590,1,2,85,371,248
24591,1,2,59,893,470
24592,1,2,20,399,284
24593,1,2,93,62,112
24594,1,2,85,371,377
24595,1,2,59,187,140
24596,1,2,69,667,415
24597,0,2,68,312,273
24598,1,1,63,179,186
24599,1,2,47,882,415
24600,0,1,69,301,64
24601,1,1,59,630,111
24602,0,1,33,783,338
24603,1,2,59,463,140
24604,0,1,63,375,378
24605,1,2,47,882,415
24606,0,1,61,170,378
24607,0,1,61,170,378
24608,0,2,20,398,170
24609,1,2,59,730,345
24610,1,2,0,54,197
24611,0,1,90,200,366
24612,0,1,90,375,272
24613,0,2,75,537,392
24614,0,2,75,268,177
24615,0,1,7,63,490
24616,0,1,71,360,155
24617,1,2,75,268,177
24618,0,1,58,327,91
24619,0,2,31,697,94
24620,1,2,20,444,284
24621,1,2,85,726,163
24622,1,2,43,81,312
24623,0,2,68,868,254
24624,1,2,20,399,284
24625,1,1,27,615,96
24626,1,2,52,451,116
24627,1,2,59,730,345
24628,0,2,40,725,421
24629,0,2,40,565,168
24630,1,2,51,565,163
24631,1,2,46,284,120
24632,1,2,34,857,439
24633,1,1,63,375,186
24634,1,1,29,412,203
24635,1,2,32,967,459
24636,1,2,47,755,239
24637,1,2,90,763,422
24638,0,1,71,289,337
24639,1,1,29,268,177
24640,1,2,86,7,42
24641,0,0,92,724,423
24642,0,0,97,846,353
24643,0,0,59,942,63
24644,1,0,2,561,106
24645,0,0,56,287,292
24646,0,0,24,909,75
24647,1,0,66,177,472
24648,0,0,15,445,258
24649,1,1,9,211,100
24650,1,1,9,211,100
24651,0,0,71,535,207
24652,0,1,58,134,164
24653,1,2,8,213,163
24654,1,2,52,451,484
24655,0,1,48,733,390
24656,0,1,43,274,4
24657,1,2,72,273,352
24658,1,2,39,148,150
24659,1,2,18,163,180
24660,1,2,91,252,342
24661,1,2,8,213,163
24662,1,2,68,530,127
24663,0,2,69,667,273
24664,1,2,16,357,447
24665,1,2,54,513,140
24666,1,2,59,882,111
24667,1,1,59,213,485
24668,1,2,8,896,313
24669,1,1,59,301,140
24670,1,2,64,167,386
24671,0,1,59,818,202
24672,1,2,43,81,312
24673,0,1,90,947,389
24674,0,1,90,947,111
24675,1,2,59,775,322
24676,0,1,23,381,423
24677,1,2,59,257,466
24678,1,2,52,381,423
24679,0,1,23,381,423
24680,1,2,80,657,157
24681,0,1,69,224,338
24682,1,2,68,530,127
24683,1,2,55,420,140
24684,1,2,51,726,334
24685,1,1,63,703,69
24686,1,1,76,134,164
24687,1,2,69,755,357
24688,1,2,59,463,140
24689,1,2,59,513,140
24690,0,2,20,399,423
24691,0,1,61,170,378
24692,0,1,61,170,378
24693,1,2,68,475,432
24694,0,2,22,755,239
24695,1,2,59,187,140
24696,0,1,75,268,177
24697,1,2,59,187,140
24698,1,2,91,187,20
24699,1,2,59,187,140
24700,0,2,71,289,337
24701,0,1,4,588,7
24702,1,1,76,134,164
24703,0,2,32,137,208
24704,1,2,99,193,256
24705,1,1,34,734,473
24706,1,2,99,193,93
24707,1,2,99,842,146
24708,1,2,99,842,146
24709,1,1,99,842,146
24710,1,2,99,842,146
24711,1,2,99,842,146
24712,1,2,99,842,146
24713,1,2,99,842,146
24714,1,1,99,842,146
24715,1,2,99,842,146
24716,1,2,99,842,146
24717,1,2,99,842,146
24718,1,1,43,842,146
24719,1,2,99,842,146
24720,1,2,99,842,146
24721,1,2,99,842,146
24722,1,1,29,921,203
24723,1,2,47,438,368
24724,1,2,55,86,65
24725,1,2,30,86,58
24726,0,2,80,623,97
24727,1,2,80,623,97
24728,1,2,17,282,22
24729,0,1,43,664,4
24730,1,2,39,321,165
24731,0,1,61,510,254
24732,0,2,98,388,15
24733,1,2,5,43,309
24734,1,1,29,987,31
24735,1,1,76,507,32
24736,0,2,31,218,254
24737,0,2,75,390,392
24738,1,2,52,75,484
24739,0,2,52,614,468
24740,0,1,71,874,44
24741,1,2,12,129,13
24742,1,1,61,510,212
24743,1,2,17,362,165
24744,1,2,65,51,87
24745,1,2,55,207,146
24746,1,2,17,321,165
24747,1,2,30,463,165
24748,1,1,27,192,461
24749,1,2,39,51,150
24750,1,2,91,18,461
24751,1,2,12,61,97
24752,1,2,0,54,76
24753,1,2,91,18,342
24754,0,2,90,157,223
24755,1,2,75,390,246
24756,0,2,75,344,246
24757,0,1,75,344,331
24758,0,2,72,181,60
24759,1,2,25,356,475
24760,1,2,47,12,498
24761,1,1,86,105,4
24762,1,1,64,799,216
24763,1,2,30,58,345
24764,0,1,61,170,378
24765,1,2,52,137,208
24766,1,2,52,75,484
24767,1,2,52,283,484
24768,1,2,52,283,484
24769,0,2,72,181,60
24770,0,2,69,203,315
24771,0,2,52,203,315
24772,0,1,61,930,358
24773,0,2,31,930,24
24774,0,2,13,781,95
24775,0,1,22,276,477
24776,1,2,52,987,31
24777,0,2,72,261,60
24778,1,1,63,298,227
24779,1,2,80,79,97
24780,1,1,43,314,494
24781,1,1,27,649,354
24782,1,2,12,422,498
24783,1,2,18,453,241
24784,1,1,16,111,149
24785,1,2,8,466,31
24786,1,2,17,466,165
24787,1,1,29,147,48
24788,1,2,86,597,440
24789,0,2,69,203,315
24790,1,2,68,203,315
24791,1,2,68,203,315
24792,0,2,91,712,2
24793,0,2,12,367,136
24794,1,2,49,745,456
24795,0,1,16,111,47
24796,0,2,13,218,317
24797,1,2,5,987,31
24798,1,2,18,453,241
24799,1,1,4,695,13
24800,1,1,76,432,12
24801,0,2,65,367,87
24802,1,2,43,773,312
24803,1,1,43,664,331
24804,1,2,46,874,187
24805,0,1,63,223,149
24806,1,1,17,321,165
24807,1,2,49,745,475
24808,1,1,76,581,183
24809,1,2,80,61,97
24810,0,1,46,153,418
24811,1,2,93,131,156
24812,1,2,93,131,156
24813,0,1,63,605,186
24814,1,2,93,137,156
24815,1,2,14,893,277
24816,1,2,43,434,498
24817,0,2,12,695,13
24818,0,1,20,160,169
24819,1,2,91,462,2
24820,1,2,71,761,386
24821,1,2,54,893,277
24822,1,2,80,695,97
24823,0,2,10,107,408
24824,1,2,31,996,254
24825,1,2,51,373,165
24826,1,1,76,432,59
24827,1,2,10,24,124
24828,1,2,55,283,165
24829,1,2,68,61,432
24830,0,2,16,410,391
24831,0,2,71,227,386
24832,1,2,12,481,218
24833,1,2,51,466,383
24834,1,2,31,551,254
24835,0,2,86,7,440
24836,1,2,86,7,88
24837,0,2,86,7,88
24838,1,2,86,7,88
24839,1,1,63,788,186
24840,1,2,43,54,4
24841,0,1,42,788,149
24842,0,2,26,491,47
24843,0,2,61,218,317
24844,0,1,90,763,160
24845,1,2,75,246,246
24846,0,2,86,370,407
24847,1,1,75,986,246
24848,0,1,58,493,138
24849,0,1,58,493,138
24850,0,1,58,707,91
24851,0,2,75,390,152
24852,1,1,29,921,48
24853,1,2,55,842,146
24854,1,2,17,842,146
24855,1,2,55,842,146
24856,1,2,55,842,146
24857,1,2,17,466,165
24858,1,1,17,995,383
24859,1,2,43,453,259
24860,1,2,43,81,312
24861,1,2,17,466,165
24862,1,2,20,987,284
24863,1,1,29,314,8
24864,1,2,17,718,22
24865,1,2,80,8,97
24866,0,2,72,353,60
24867,0,1,91,712,30
24868,0,1,86,831,341
24869,0,2,14,176,90
24870,1,2,5,176,31
24871,0,2,34,929,2
24872,0,2,91,718,173
24873,1,1,76,432,12
24874,1,1,76,432,12
24875,1,2,72,979,60
24876,1,2,30,288,387
24877,1,2,25,128,242
24878,1,2,10,857,439
24879,1,2,10,107,439
24880,1,2,5,373,268
24881,1,2,5,373,33
24882,1,1,79,671,48
24883,1,2,39,407,339
24884,1,1,86,7,339
24885,1,2,47,581,34
24886,1,2,17,288,387
24887,1,2,55,772,293
24888,1,2,72,273,434
24889,1,2,65,86,65
24890,1,2,31,551,46
24891,1,2,0,413,300
24892,0,2,90,762,223
24893,1,2,90,157,223
24894,1,2,75,246,246
24895,1,2,17,191,165
24896,1,2,72,373,60
24897,1,2,43,405,259
24898,1,2,91,718,342
24899,1,2,10,857,439
24900,1,2,55,743,65
24901,1,2,10,857,439
24902,1,2,10,857,439
24903,1,2,55,373,268
24904,1,2,30,700,146
24905,1,2,43,54,300
24906,1,2,47,311,8
24907,0,0,92,309,468
24908,0,0,67,689,147
24909,1,0,11,802,323
24910,0,0,11,314,323
24911,0,0,42,329,226
24912,0,0,20,160,169
24913,0,0,25,169,300
24914,0,0,98,531,201
24915,0,0,75,36,21
24916,0,0,42,95,43
24917,0,0,75,95,43
24918,0,0,75,95,43
24919,0,0,50,189,38
24920,0,0,50,189,38
24921,0,0,50,189,38
24922,0,0,35,494,308
24923,1,0,18,169,5
24924,0,0,95,60,361
24925,0,0,81,908,411
24926,0,0,2,627,134
24927,1,0,24,228,264
24928,1,0,24,80,125
24929,1,0,24,228,411
24930,1,0,24,439,264
24931,0,0,81,41,162
24932,1,0,81,80,99
24933,0,0,95,212,99
24934,0,0,95,82,139
24935,0,0,81,788,265
24936,0,0,81,887,370
24937,0,0,81,365,75
24938,0,0,81,439,54
24939,1,0,24,439,99
24940,0,0,81,73,99
24941,0,0,81,41,134
24942,0,0,24,169,264
24943,0,0,24,437,260
24944,1,0,81,561,99
24945,0,0,46,292,233
24946,1,0,20,243,288
24947,0,0,66,624,426
24948,1,0,9,204,335
24949,0,1,1,292,233
24950,0,0,15,330,258
24951,0,0,75,147,48
24952,1,0,15,723,0
24953,1,0,9,342,30
24954,1,2,52,75,484
24955,1,2,65,323,437
24956,1,2,91,718,461
24957,1,1,63,132,149
24958,0,1,79,817,48
24959,1,2,0,163,479
24960,1,2,47,390,31
24961,1,2,52,75,345
24962,1,2,52,75,165
24963,1,1,23,432,387
24964,1,2,54,13,263
24965,1,1,29,314,289
24966,1,2,43,81,289
24967,1,2,43,81,289
24968,1,2,10,107,124
24969,1,2,12,824,13
24970,1,2,54,729,150
24971,1,1,65,632,305
24972,1,2,55,86,65
24973,1,2,10,107,124
24974,1,2,93,87,173
24975,1,1,79,314,210
24976,1,2,55,24,456
24977,1,1,29,921,48
24978,1,2,34,929,132
24979,1,2,68,479,36
24980,0,2,72,353,60
24981,1,1,29,921,48
24982,1,1,29,921,48
24983,1,2,49,81,4
24984,0,2,61,83,24
24985,1,2,43,81,312
24986,1,2,39,700,425
24987,1,2,55,842,146
24988,1,2,55,842,146
24989,1,1,63,298,186
24990,1,2,93,87,173
24991,1,2,51,620,118
24992,1,2,86,759,193
24993,1,2,17,743,165
24994,1,1,79,314,210
24995,0,1,47,644,331
24996,1,1,51,373,165
24997,1,2,52,137,116
24998,0,1,52,257,466
24999,1,2,52,75,465
25000,0,2,86,633,349
25001,0,2,86,633,349
25002,1,2,10,350,248
25003,1,2,51,669,196
25004,1,2,17,466,165
25005,1,2,55,207,146
25006,0,2,68,328,173
25007,0,2,68,328,20
25008,1,1,76,507,12
25009,1,1,3,147,203
25010,0,1,62,385,399
25011,1,2,62,70,316
25012,1,2,17,903,165
25013,1,2,25,356,475
25014,1,2,65,505,36
25015,0,1,29,147,48
25016,0,2,61,83,24
25017,1,2,43,81,312
25018,1,1,17,52,165
25019,1,2,17,466,165
25020,1,1,29,921,494
25021,1,1,4,695,13
25022,1,2,18,51,180
25023,0,1,3,272,252
25024,1,2,10,288,61
25025,1,2,49,745,145
25026,1,2,39,700,467
25027,1,1,76,842,146
25028,0,1,46,959,44
25029,1,1,33,510,303
25030,0,2,31,510,94
25031,1,2,10,207,146
25032,1,2,55,207,146
25033,1,2,55,207,146
25034,0,2,75,972,246
25035,0,2,75,470,246
25036,1,2,55,207,146
25037,1,2,43,81,97
25038,1,2,51,620,118
25039,1,2,54,377,412
25040,1,2,17,51,165
25041,1,2,17,466,165
25042,1,1,5,434,498
25043,1,2,43,81,312
25044,1,0,8,980,13
25045,1,2,25,51,31
25046,1,2,55,321,165
25047,1,2,80,919,97
25048,1,2,0,366,76
25049,1,2,75,246,392
25050,0,1,32,254,54
25051,0,2,52,193,256
25052,0,2,26,661,47
25053,0,2,20,243,390
25054,1,2,25,193,343
25055,0,1,34,672,358
25056,1,2,99,676,256
25057,1,2,47,57,416
25058,1,2,25,184,343
25059,0,2,93,131,218
25060,1,2,34,576,473
25061,0,1,16,279,47
25062,0,2,43,81,410
25063,0,2,34,676,267
25064,1,2,99,620,118
25065,0,2,93,272,252
25066,0,1,98,331,211
25067,1,1,4,67,50
25068,0,2,86,476,348
25069,0,1,23,275,236
25070,0,2,31,850,393
25071,0,1,40,881,225
25072,1,2,16,822,391
25073,1,2,49,745,145
25074,1,2,31,306,348
25075,0,1,40,483,476
25076,0,1,76,433,303
25077,1,2,0,575,128
25078,0,2,82,452,78
25079,0,1,3,272,252
25080,1,2,20,281,390
25081,0,1,90,484,160
25082,1,2,43,729,312
25083,1,2,25,113,469
25084,1,2,17,107,71
25085,1,2,82,924,416
25086,1,2,82,400,305
25087,1,2,12,534,71
25088,1,2,82,377,121
25089,1,2,68,864,432
25090,1,2,40,55,434
25091,0,1,91,923,71
25092,0,1,61,170,378
25093,0,1,61,170,378
25094,0,1,28,93,332
25095,1,2,18,288,71
25096,1,2,49,745,145
25097,1,1,23,430,236
25098,1,2,54,729,150
25099,1,1,27,197,204
25100,0,1,22,641,433
25101,1,2,52,78,234
25102,0,1,34,614,81
25103,0,2,52,341,241
25104,1,2,14,893,383
25105,0,2,34,107,416
25106,1,2,43,81,2
25107,1,1,82,197,305
25108,1,2,84,417,363
25109,1,2,12,422,45
25110,1,2,82,197,40
25111,0,1,63,132,149
25112,0,2,16,491,47
25113,1,1,29,921,218
25114,0,1,27,620,204
25115,1,2,47,12,416
25116,1,2,82,173,40
25117,1,2,64,761,215
25118,1,2,82,534,498
25119,1,2,51,620,118
25120,0,2,86,759,170
25121,1,2,82,84,40
25122,1,2,82,336,250
25123,1,2,47,840,416
25124,0,2,93,495,159
25125,1,2,82,288,387
25126,1,2,82,346,305
25127,1,2,82,377,121
25128,0,1,71,190,437
25129,0,1,3,336,250
25130,0,1,20,605,288
25131,1,2,12,46,368
25132,0,1,71,418,464
25133,1,2,82,197,277
25134,0,2,82,380,218
25135,0,2,16,859,47
25136,0,2,61,84,254
25137,1,2,78,61,45
25138,1,2,82,840,320
25139,1,2,68,924,416
25140,1,2,0,163,372
25141,0,2,90,963,389
25142,1,2,90,582,422
25143,0,1,19,707,267
25144,0,1,26,202,245
25145,1,2,93,87,112
25146,1,1,76,102,236
25147,1,2,16,859,47
25148,0,2,46,91,367
25149,0,2,31,785,123
25150,0,2,31,160,123
25151,0,2,98,331,173
25152,1,2,82,104,14
25153,1,1,79,314,358
25154,1,2,17,760,218
25155,1,2,82,172,14
25156,1,2,82,380,218
25157,0,2,10,90,278
25158,0,2,84,208,17
25159,0,2,12,61,40
25160,1,1,3,902,459
25161,1,1,85,123,437
25162,1,1,27,645,204
25163,0,2,4,356,51
25164,0,1,63,132,149
25165,1,2,48,435,84
25166,1,2,51,620,118
25167,1,2,25,356,41
25168,0,2,84,897,424
25169,1,1,33,492,289
25170,1,1,63,421,186
25171,1,2,25,772,343
25172,1,2,82,191,339
25173,0,2,71,227,464
25174,1,2,16,279,47
25175,1,2,25,429,339
25176,0,2,18,191,218
25177,1,2,47,191,410
25178,1,1,0,888,218
25179,1,2,90,191,422
25180,1,2,43,191,410
25181,1,2,82,191,339
25182,1,1,27,197,204
25183,0,2,28,480,249
25184,0,0,97,633,453
25185,0,0,41,741,63
25186,0,0,22,741,369
25187,0,0,98,313,211
25188,0,0,11,355,369
25189,0,0,28,403,104
25190,0,0,28,403,104
25191,0,0,58,503,356
25192,0,0,19,736,380
25193,0,0,98,313,211
25194,0,0,56,439,28
25195,0,0,24,82,139
25196,0,0,56,280,183
25197,0,0,56,441,365
25198,0,0,95,611,381
25199,0,0,24,365,75
25200,0,0,15,330,258
25201,0,0,75,164,379
25202,0,0,9,199,37
25203,0,0,15,199,0
25204,0,0,60,264,458
25205,1,0,9,204,37
25206,0,2,86,597,267
25207,1,2,82,231,293
25208,1,2,84,208,17
25209,1,2,82,1,305
25210,1,2,84,417,363
25211,1,2,65,22,87
25212,1,2,10,107,278
25213,1,2,82,452,78
25214,1,2,82,932,150
25215,1,2,43,534,312
25216,1,1,82,839,336
25217,0,1,3,272,252
25218,1,2,47,355,128
25219,1,1,76,711,236
25220,1,2,86,759,193
25221,1,2,82,743,14
25222,0,1,46,208,102
25223,1,1,76,457,236
25224,1,2,65,22,87
25225,1,2,80,527,128
25226,0,2,91,131,173
25227,0,1,76,387,236
25228,1,2,82,86,384
25229,1,2,82,84,296
