,2Means_prot,3Means_prot,100Means_prot,1000Means_prot,500Means_prot
263,0,0,41,526,90
264,1,2,93,49,122
265,1,1,2,151,29
266,1,1,66,269,283
267,0,0,34,701,38
268,1,1,78,915,301
269,1,1,74,700,493
270,1,1,2,854,252
271,1,1,4,312,250
272,1,2,78,359,159
273,1,2,33,289,431
274,1,2,33,289,358
275,1,2,22,63,325
276,1,2,26,29,77
277,1,2,84,245,212
278,1,2,84,574,342
279,0,0,11,1,328
280,0,0,41,102,189
281,1,2,6,387,386
282,1,2,53,269,135
283,0,0,66,442,141
284,1,2,46,944,161
285,1,2,12,539,109
286,1,2,64,944,300
287,0,0,34,198,189
288,1,2,2,45,250
289,1,2,29,656,334
290,0,0,34,118,278
291,1,2,19,147,29
292,1,2,73,56,289
293,0,0,22,193,216
294,0,0,41,489,152
295,0,0,7,678,281
296,1,2,83,670,103
297,1,2,99,483,475
298,1,2,72,756,168
299,0,0,92,471,125
300,1,2,57,95,257
301,1,2,56,113,468
302,0,0,62,103,321
303,0,0,22,403,325
304,1,1,70,955,444
305,0,0,52,391,272
306,1,2,85,630,206
307,0,0,67,836,99
308,1,2,3,122,114
309,1,2,43,253,264
310,1,1,35,989,389
311,1,1,2,90,18
312,1,1,37,839,58
313,1,1,2,334,29
314,1,1,83,142,103
315,0,1,73,191,224
316,0,0,27,174,491
317,1,2,9,243,57
318,0,0,94,127,278
319,1,2,19,375,54
320,0,0,19,529,244
321,1,2,59,974,206
322,1,2,59,675,427
323,1,2,83,827,459
324,1,2,59,728,72
325,0,0,27,725,277
326,1,2,59,8,72
327,1,2,57,95,210
328,1,2,46,463,453
329,0,0,11,563,452
330,1,2,87,316,251
331,0,0,11,338,401
332,1,2,59,705,300
333,1,2,12,682,353
334,1,2,63,285,477
335,1,2,83,54,206
336,0,0,82,770,315
337,0,0,11,679,62
338,0,0,76,473,263
339,1,2,87,316,251
340,0,0,87,73,239
341,1,2,48,453,201
342,0,1,11,93,401
343,1,1,65,93,130
344,0,0,7,961,307
345,1,2,63,705,269
346,0,0,11,342,244
347,0,0,67,836,99
348,1,1,35,82,130
349,1,1,35,676,458
350,1,1,37,679,224
351,1,1,37,728,224
352,1,2,76,679,103
353,0,0,11,403,244
354,1,2,48,190,307
355,0,0,59,342,206
356,0,0,59,342,206
357,0,0,76,535,277
358,0,0,13,14,61
359,1,2,4,562,194
360,1,2,74,700,493
361,1,2,94,31,252
362,1,2,86,39,386
363,1,2,4,670,219
364,1,2,19,469,195
365,1,2,4,401,219
366,1,2,57,250,257
367,1,2,66,59,57
368,0,0,13,62,28
369,1,2,56,269,135
370,1,2,26,401,175
371,1,2,84,886,141
372,1,2,55,401,252
373,1,2,15,1,386
374,1,2,87,232,141
375,1,2,55,442,252
376,1,2,74,39,399
377,1,2,22,364,45
378,1,2,88,954,201
379,1,2,26,593,345
380,1,2,66,2,81
381,0,0,34,145,48
382,1,2,82,497,362
383,1,2,82,682,400
384,0,0,67,836,99
385,1,2,82,988,141
386,1,2,38,304,54
387,0,0,34,250,10
388,1,2,66,59,396
389,0,0,13,937,328
390,1,2,74,124,45
391,0,0,88,954,201
392,0,0,38,529,410
393,1,2,73,22,91
394,0,0,67,836,99
395,1,2,26,29,175
396,0,0,67,836,99
397,0,0,57,491,50
398,1,2,46,223,161
399,0,0,64,754,281
400,1,2,64,754,476
401,0,0,67,836,99
402,1,2,98,656,45
403,0,0,67,836,99
404,1,2,99,44,325
405,1,2,22,659,438
406,1,2,73,375,54
407,1,2,86,31,381
408,0,0,26,266,79
409,0,0,22,613,325
410,1,2,26,814,67
411,0,0,53,269,135
412,1,2,90,770,135
413,0,0,67,836,99
414,1,2,82,66,400
415,0,0,19,814,494
416,1,2,0,30,19
417,1,2,96,446,420
418,1,2,22,692,86
419,1,2,66,2,141
420,0,0,67,836,99
421,0,0,25,260,89
422,1,2,33,329,358
423,0,0,41,526,90
424,0,0,67,836,99
425,0,0,95,9,225
426,1,2,46,571,161
427,0,0,67,836,99
428,1,2,10,67,24
429,1,2,73,357,253
430,0,0,13,942,279
431,1,2,78,212,480
432,0,0,84,811,88
433,1,2,74,700,431
434,0,0,55,533,61
435,0,0,25,915,89
436,1,2,4,357,219
437,1,2,66,215,55
438,1,2,82,577,376
439,0,0,67,836,99
440,0,0,82,567,227
441,1,2,78,118,150
442,1,2,5,107,368
443,0,0,41,526,250
444,1,2,31,842,188
445,1,2,33,59,57
446,1,2,88,39,201
447,1,2,78,406,301
448,1,2,19,147,195
449,0,0,62,233,321
450,0,0,67,836,99
451,0,0,87,194,452
452,1,2,86,31,487
453,0,0,66,487,196
454,1,2,66,501,57
455,1,2,19,147,195
456,0,0,94,526,134
457,0,0,34,212,480
458,1,2,55,842,404
459,1,2,87,888,1
460,0,0,67,836,99
461,1,2,82,832,445
462,0,0,22,536,370
463,1,1,65,153,23
464,0,1,67,836,99
465,0,1,77,218,75
466,1,2,4,375,9
467,1,2,86,702,486
468,0,0,67,836,99
469,0,0,67,836,99
470,1,2,55,542,30
471,0,0,67,836,99
472,0,0,67,836,99
473,0,0,67,836,99
474,0,0,67,836,99
475,0,0,13,526,281
476,0,0,67,836,99
477,0,0,35,215,168
478,0,0,67,836,99
479,1,2,74,29,175
480,0,0,67,836,99
481,1,2,22,647,86
482,1,2,98,541,334
483,0,0,67,836,99
484,0,0,34,937,10
485,0,0,67,836,99
486,1,2,78,113,468
487,0,0,67,836,99
488,1,2,55,131,386
489,1,2,90,770,135
490,1,2,67,836,99
491,1,2,67,836,99
492,0,0,67,836,99
493,0,0,67,836,99
494,1,2,67,836,99
495,1,2,67,836,99
496,1,2,67,836,99
497,1,2,67,836,99
498,0,0,67,836,99
499,1,2,67,836,99
500,1,2,67,836,99
501,1,2,67,836,99
502,1,2,67,836,99
503,0,0,67,836,99
504,0,0,67,836,99
505,0,0,67,836,99
506,0,0,67,836,99
507,0,0,67,836,99
508,0,0,67,836,99
509,0,0,67,836,99
510,0,0,67,836,99
511,0,0,67,836,99
512,0,0,67,836,99
513,0,0,67,836,99
514,0,0,67,836,99
515,0,0,67,836,99
516,0,0,67,836,99
517,0,0,67,836,99
518,0,0,67,836,99
519,0,0,67,836,99
520,0,0,67,836,99
521,0,0,67,836,99
522,0,0,67,836,99
523,0,0,67,836,99
524,0,0,67,836,99
525,0,0,67,836,99
526,0,0,67,836,99
527,0,0,67,836,99
528,0,0,67,836,99
529,0,0,67,836,99
530,0,0,67,836,99
531,0,0,67,836,99
532,0,0,67,836,99
533,0,0,67,836,99
534,0,0,67,836,99
535,0,0,67,836,99
536,0,0,67,836,99
537,0,0,67,836,99
538,0,0,67,836,99
539,0,0,67,836,99
540,0,0,67,836,99
541,0,0,67,836,99
542,0,0,67,836,99
543,0,0,67,836,99
544,0,0,67,836,99
545,0,0,67,836,99
546,0,0,67,836,99
547,0,0,67,836,99
548,0,0,67,836,99
549,0,0,67,836,99
550,0,0,67,836,99
551,0,0,67,836,99
552,0,0,67,836,99
553,0,0,67,836,99
554,0,0,67,836,99
555,0,0,67,836,99
556,0,0,67,836,99
557,0,0,67,836,99
558,0,0,67,836,99
559,0,0,67,836,99
560,0,0,67,836,99
561,0,0,67,836,99
562,0,0,67,836,99
563,0,0,67,836,99
564,0,0,67,836,99
565,0,0,67,836,99
566,0,0,67,836,99
567,0,0,67,836,99
568,0,0,67,836,99
569,0,0,67,836,99
570,0,0,67,836,99
571,0,0,67,836,99
572,0,0,67,836,99
573,0,0,67,836,99
574,0,0,67,836,99
575,0,0,67,836,99
576,0,0,67,836,99
577,0,0,67,836,99
578,0,0,67,836,99
579,0,0,67,836,99
580,0,0,67,836,99
581,0,0,67,836,99
582,0,0,67,836,99
583,0,0,67,836,99
584,0,0,67,836,99
585,0,0,67,836,99
586,0,0,67,836,99
587,0,0,67,836,99
588,0,0,67,836,99
589,0,0,67,836,99
590,0,0,67,836,99
591,0,0,67,836,99
592,0,0,67,836,99
593,0,0,67,836,99
594,0,0,67,836,99
595,0,0,67,836,99
596,0,0,67,836,99
597,0,0,67,836,99
598,0,0,67,836,99
599,0,0,67,836,99
600,1,2,67,836,99
601,1,2,82,497,362
602,1,2,67,836,99
603,1,2,67,836,99
604,1,2,67,836,99
605,1,2,67,836,99
606,1,2,17,637,135
607,0,0,67,836,99
608,0,0,67,836,99
609,0,0,67,836,99
610,0,0,67,836,99
611,1,2,56,842,174
612,0,0,67,836,99
613,0,0,67,836,99
614,0,0,67,836,99
615,1,2,22,539,86
616,1,2,74,124,0
617,0,0,67,836,99
618,1,1,15,1,79
619,1,1,2,275,175
620,1,1,74,107,182
621,0,0,60,102,494
622,1,1,2,328,29
623,1,1,38,80,182
624,1,1,53,269,29
625,1,1,66,2,29
626,1,1,87,736,101
627,1,1,66,2,148
628,1,1,2,164,29
629,1,1,2,334,29
630,1,1,5,436,348
631,1,1,2,334,494
632,1,1,2,151,29
633,0,1,22,63,194
634,1,1,2,334,29
635,0,1,67,836,99
636,1,1,90,770,104
637,1,1,69,68,448
638,0,1,89,486,20
639,1,1,43,171,25
640,0,1,43,558,494
641,0,1,22,328,279
642,1,1,87,723,71
643,1,1,0,60,496
644,0,1,88,81,5
645,1,1,2,433,29
646,1,1,43,107,182
647,0,1,66,752,396
648,0,1,22,328,194
649,0,0,13,579,105
650,1,1,43,334,494
651,0,1,34,915,10
652,1,1,86,322,125
653,1,1,53,269,135
654,0,1,67,836,99
655,0,0,34,212,480
656,1,1,2,346,182
657,1,1,74,107,182
658,1,2,87,232,1
659,1,2,19,147,466
660,0,0,67,836,99
661,1,2,51,232,260
662,1,2,19,147,195
663,1,2,19,107,399
664,0,0,67,836,99
665,0,0,66,301,227
666,0,0,67,836,99
667,1,2,47,318,418
668,1,2,60,401,326
669,1,2,91,281,56
670,0,0,79,116,215
671,1,2,75,349,84
672,0,0,88,395,393
673,1,2,47,281,84
674,0,0,78,698,105
675,1,2,91,395,393
676,0,0,90,63,48
677,1,2,91,375,54
678,1,2,96,446,418
679,1,2,47,980,418
680,1,2,20,106,373
681,1,2,17,311,418
682,0,0,49,950,212
683,0,0,52,950,212
684,1,2,91,554,466
685,1,2,47,381,326
686,1,2,78,281,56
687,0,0,41,529,393
688,1,2,71,42,436
689,0,0,49,950,227
690,1,2,93,378,467
691,1,2,57,250,50
692,1,2,91,281,393
693,0,0,79,323,393
694,1,2,64,502,223
695,1,2,57,95,210
696,1,2,47,281,418
697,0,0,91,88,393
698,1,2,0,655,157
699,1,2,32,125,241
700,1,2,49,383,492
701,1,2,47,670,326
702,0,0,78,805,165
703,1,2,91,43,84
704,0,0,49,950,227
705,0,0,22,701,38
706,0,1,24,176,274
707,1,1,53,269,97
708,1,1,36,673,332
709,0,0,79,400,393
710,1,2,10,281,56
711,1,2,10,753,288
712,0,0,67,836,99
713,0,0,79,928,284
714,1,1,91,375,54
715,1,1,91,281,430
716,1,1,71,406,33
717,1,1,71,406,33
718,0,0,58,176,318
719,1,1,54,741,393
720,1,2,91,281,393
721,1,2,91,796,30
722,0,0,21,546,120
723,0,0,22,564,243
724,1,2,66,383,492
725,1,2,91,881,156
726,1,2,66,220,45
727,1,2,26,433,441
728,1,2,78,212,480
729,1,2,66,59,211
730,1,2,86,310,403
731,0,0,56,23,22
732,1,2,87,227,450
733,0,0,73,10,215
734,1,2,26,29,175
735,1,2,96,79,358
736,1,2,87,888,1
737,0,0,41,529,113
738,1,2,26,375,54
739,1,2,0,655,19
740,1,1,69,287,419
741,0,0,67,836,99
742,1,2,73,840,175
743,1,2,53,269,135
744,0,1,88,956,25
745,1,1,25,224,493
746,1,2,15,513,145
747,1,2,22,225,86
748,0,0,34,915,10
749,1,2,88,741,201
750,1,2,94,538,487
751,1,2,17,564,45
752,1,2,87,908,1
753,0,0,58,313,79
754,1,2,19,401,67
755,1,2,19,736,29
756,1,2,42,375,54
757,1,2,86,395,250
758,1,2,4,357,67
759,1,2,88,845,469
760,1,2,56,542,67
761,1,2,57,979,257
762,1,2,55,131,404
763,0,0,73,62,105
764,0,0,82,988,400
765,0,0,89,113,150
766,1,2,87,232,179
767,1,2,19,147,195
768,1,2,66,902,443
769,0,0,13,401,67
770,1,2,74,57,493
771,1,2,4,312,67
772,1,2,78,295,440
773,1,2,4,401,67
774,1,2,19,469,29
775,1,2,74,22,399
776,0,0,82,770,321
777,1,2,12,130,461
778,1,2,64,754,394
779,1,2,88,28,201
780,0,0,42,118,150
781,1,2,86,4,105
782,1,2,22,692,194
783,1,2,60,814,226
784,1,2,22,619,166
785,1,2,19,554,194
786,1,2,15,1,176
787,1,2,33,59,486
788,1,2,73,194,188
789,1,2,26,593,345
790,1,2,78,359,105
791,0,0,73,56,424
792,1,2,90,578,135
793,1,2,66,78,283
794,1,2,0,500,290
795,1,2,87,428,54
796,1,2,66,2,201
797,0,0,71,565,143
798,1,2,82,66,289
799,1,2,19,13,289
800,1,2,87,644,9
801,1,2,12,682,109
802,0,0,52,815,88
803,1,2,4,375,54
804,1,2,93,71,334
805,0,0,22,63,325
806,1,2,26,29,175
807,0,0,13,249,193
808,0,0,25,260,89
809,1,2,74,953,399
810,1,2,93,541,160
811,1,2,22,692,86
812,1,2,56,269,135
813,1,2,51,550,1
814,1,2,22,419,86
815,0,0,88,604,382
816,1,2,19,147,195
817,1,2,4,542,194
818,1,2,82,56,315
819,1,2,88,375,54
820,1,2,19,80,399
821,0,1,70,734,20
822,1,1,70,258,184
823,1,1,70,817,23
824,1,1,65,153,231
825,1,2,74,845,201
826,1,2,57,855,460
827,0,0,67,836,99
828,1,2,86,545,431
829,0,0,89,539,269
830,0,0,89,889,404
831,1,2,66,223,212
832,1,1,88,954,201
833,1,1,22,692,86
834,0,1,2,853,246
835,1,1,2,81,29
836,1,1,72,964,168
837,1,1,10,783,183
838,1,1,60,593,345
839,1,1,2,817,195
840,0,1,80,125,173
841,1,1,74,700,493
842,1,1,5,643,141
843,1,1,74,909,493
844,1,1,82,839,400
845,1,1,53,269,135
846,0,1,13,319,59
847,1,1,74,328,493
848,0,1,66,677,196
849,1,1,78,212,47
850,0,0,13,636,8
851,1,1,10,266,181
852,0,0,4,670,59
853,1,2,93,71,160
854,1,2,19,147,195
855,0,0,22,360,438
856,1,2,63,80,166
857,1,2,6,387,386
858,1,2,87,723,71
859,1,2,55,842,404
860,1,2,71,484,143
861,1,2,39,497,362
862,0,0,25,56,89
863,1,2,89,542,194
864,1,2,22,63,325
865,1,2,8,478,241
866,1,2,19,107,45
867,1,2,39,29,441
868,1,2,33,500,201
869,1,2,48,244,21
870,0,0,76,403,409
871,1,2,60,672,72
872,0,0,11,504,244
873,0,0,11,277,72
874,1,2,83,316,251
875,1,2,48,583,455
876,0,0,76,155,277
877,1,2,59,277,72
878,1,2,48,73,239
879,1,2,63,852,435
880,1,2,48,675,427
881,1,2,48,974,206
882,1,2,48,244,87
883,1,2,59,974,206
884,1,2,48,974,206
885,1,2,48,974,206
886,1,2,48,974,206
887,1,2,48,974,206
888,1,2,48,974,206
889,1,2,48,974,206
890,1,2,48,26,87
891,1,2,3,283,435
892,1,2,76,735,300
893,0,0,76,230,307
894,1,2,48,120,170
895,1,2,48,120,170
896,0,0,76,348,204
897,1,2,48,120,170
898,0,0,82,63,48
899,1,2,48,583,361
900,0,0,48,818,30
901,0,0,11,155,473
902,0,0,76,703,458
903,0,0,48,961,70
904,1,2,85,277,72
905,1,2,48,705,300
906,1,2,83,26,206
907,0,0,76,403,216
908,0,0,48,187,473
909,0,0,76,155,277
910,1,2,63,285,466
911,1,2,83,285,62
912,0,0,56,961,307
913,1,2,48,914,361
914,1,2,48,329,91
915,0,0,56,23,307
916,0,0,11,520,189
917,0,0,76,155,473
918,1,2,63,285,62
919,1,2,71,295,251
920,0,0,48,285,361
921,0,0,48,155,239
922,1,2,48,797,361
923,1,2,83,54,234
924,1,2,68,187,473
925,0,0,76,285,277
926,1,1,65,93,130
927,1,2,71,277,72
928,0,0,7,155,372
929,0,0,67,836,99
930,0,0,83,155,31
931,1,2,59,277,72
932,0,1,37,783,224
933,0,0,11,55,298
934,0,0,11,155,306
935,1,1,37,164,206
936,1,1,82,244,400
937,1,1,37,725,58
938,0,0,11,342,244
939,0,1,11,852,170
940,1,1,48,852,224
941,1,1,30,8,14
942,1,1,37,244,87
943,1,1,37,302,229
944,0,1,48,852,224
945,0,1,77,962,10
946,1,2,48,818,30
947,0,0,76,703,458
948,1,2,35,703,477
949,1,2,48,79,87
950,1,2,3,149,307
951,0,0,90,770,239
952,0,0,76,348,277
953,0,0,48,187,473
954,0,0,76,430,263
955,1,2,37,583,87
956,1,2,83,243,239
957,1,2,48,120,170
958,1,2,60,672,253
959,0,0,34,113,10
960,1,2,19,419,26
961,1,2,42,375,54
962,1,2,66,2,125
963,1,2,4,1,67
964,1,2,19,566,252
965,1,2,19,401,67
966,1,2,1,401,219
967,1,2,86,401,252
968,1,2,56,51,135
969,1,2,0,83,493
970,0,0,35,2,168
971,1,2,25,401,67
972,1,2,74,578,493
973,1,2,44,500,91
974,1,2,82,63,376
975,1,2,82,487,396
976,1,2,82,988,400
977,1,2,44,962,174
978,1,2,28,232,237
979,1,2,90,578,194
980,1,2,73,56,424
981,1,2,38,396,197
982,1,2,93,395,253
983,1,2,26,401,175
984,1,2,78,212,480
985,1,2,4,401,67
986,0,0,22,63,325
987,1,2,96,50,386
988,1,2,22,542,109
989,1,2,64,667,264
990,0,0,64,404,109
991,1,2,56,934,381
