epoch,loss,lr,val_loss
0,0.164071119975,0.0020000000949949026,0.0985939498678
1,0.121887091633,0.0020000000949949026,0.0950123563646
2,0.111768291574,0.0020000000949949026,0.0895769716838
3,0.107933977572,0.0020000000949949026,0.0904398260921
4,0.104268292768,0.0020000000949949026,0.0911430548162
5,0.101926450639,0.0020000000949949026,0.0853875288976
6,0.0996503585391,0.0020000000949949026,0.0844761453109
7,0.0986867399834,0.0020000000949949026,0.0833725450679
8,0.0969721329684,0.0020000000949949026,0.0796303009721
9,0.0962705275844,0.0020000000949949026,0.0807859761635
10,0.09572364582,0.0020000000949949026,0.0819866350928
11,0.0955246328119,0.0020000000949949026,0.0808225872354
12,0.094221721403,0.0020000000949949026,0.080016823906
13,0.0943075150262,0.0020000000949949026,0.0790549222966
14,0.0936419410423,0.0020000000949949026,0.0807794036017
15,0.0934924290159,0.0020000000949949026,0.0793992875854
16,0.0929685277381,0.0020000000949949026,0.078959331109
17,0.0927594210054,0.0020000000949949026,0.07795480598
18,0.0928050958187,0.0020000000949949026,0.0793300172056
19,0.0924037157697,0.0020000000949949026,0.0766556492433
20,0.0901961662689,0.00039999998989515007,0.076782721238
21,0.090028429747,0.00039999998989515007,0.0767194006285
22,0.0886589506678,0.00039999998989515007,0.0770149355499
23,0.0887590367459,0.00039999998989515007,0.0775722305562
24,0.0885297600147,0.00039999998989515007,0.0770872559662
25,0.0881761690197,0.00039999998989515007,0.074854366269
26,0.0875598751665,0.00039999998989515007,0.0747992085479
27,0.0877348698962,0.00039999998989515007,0.0756650160948
28,0.0886409302498,0.00039999998989515007,0.0746613796334
29,0.0880769552895,0.00039999998989515007,0.0755133649313
30,0.0879154639209,0.00039999998989515007,0.0755694167256
31,0.0880197119617,0.00039999998989515007,0.075847423069
32,0.088412023153,0.00039999998989515007,0.0758048085706
33,0.0878642195847,0.00039999998989515007,0.0748714623603
34,0.0880296467612,0.00039999998989515007,0.0749598478071
35,0.0871838874545,0.00039999998989515007,0.0745816030839
36,0.0876755310316,0.00039999998989515007,0.0751849203496
37,0.0875102875386,0.00039999998989515007,0.0757131465135
38,0.086392868427,0.00039999998989515007,0.0748888293988
39,0.0867188395831,0.00039999998989515007,0.0756909968238
40,0.0869294626559,7.999999797903001e-05,0.076537893989
41,0.087148961614,7.999999797903001e-05,0.0742051931794
42,0.0863517013068,7.999999797903001e-05,0.0745369522414
43,0.0865197259435,7.999999797903001e-05,0.0751295463206
44,0.0857743164075,7.999999797903001e-05,0.0744427147462
45,0.0863731673939,7.999999797903001e-05,0.0744504209488
46,0.0866514495238,7.999999797903001e-05,0.0748748316752
47,0.0862511973992,7.999999797903001e-05,0.0739574327602
48,0.0861718863637,7.999999797903001e-05,0.0737071100158
49,0.0861564664555,7.999999797903001e-05,0.0742709826168
